step,pixels_tested,triangles_tested,microseconds,L2,L2_Squared,L1,RedMean
5957,909718740,472324,5024800,60293.1,6100.99,104430,104408,
5958,424796065,234894,3281669,60290.8,6100.9,104426,104404,
5959,864405881,472214,5469163,60288.2,6100.75,104422,104399,
5960,840893789,471811,4623403,60284.7,6100.56,104416,104393,
5961,823007234,471777,5160972,60281.6,6100.23,104411,104388,
5962,670724645,472143,4821884,60279.3,6099.96,104407,104384,
5963,1195040312,471192,4985039,60276.2,6099.48,104401,104379,
5964,908712823,470647,5185941,60270.8,6098.85,104392,104369,
5965,817251236,471425,5447129,60264.3,6096.9,104381,104358,
5966,702006702,472575,5443180,60260.6,6096.62,104374,104352,
5967,1078267226,471996,4932771,60258,6096.47,104370,104347,
5968,733446577,471172,3220810,60254.7,6095.81,104364,104341,
5969,832976406,472087,3309409,60252.2,6095.49,104360,104337,
5970,708674127,471766,3423372,60249.4,6095.19,104355,104332,
5971,957232701,472055,3309379,60246.7,6095.09,104350,104327,
5972,849195470,471826,3248446,60243.9,6094.98,104345,104323,
0,82360976989,232630,40824343,615519,468139,1.06612e+06,1.06593e+06,
1,84496653635,233083,48104374,433672,288256,751148,750996,
2,25320975559,233646,17897232,381552,217732,660865,660676,
3,51478721181,234432,26220486,341526,166328,591528,591350,
4,24888573060,233080,15085439,313131,142929,542350,542157,
5,16161077180,234413,12084367,295485,124455,511787,511588,
6,36842212661,232413,18551182,282998,119022,490168,489974,
7,20514169163,232923,12638898,274494,114100,475434,475259,
8,32155866487,233815,19218378,267576,108507,463448,463286,
9,16862872452,234267,12100934,259138,102172,448838,448673,
10,35402440616,232724,21823302,255000,100751,441670,441507,
11,22942221811,234435,12336688,249643,96468,432389,432228,
12,15393808275,233993,9686945,244945,93563.1,424251,424096,
13,32134881228,232666,18133298,241200,90306.7,417762,417654,
14,26170003340,234328,13915100,238227,89211,412607,412511,
15,15447240386,233466,9984892,234333,87425,405861,405769,
16,15749760773,232777,9554415,232203,86945.2,402171,402080,
17,11874068063,233808,8421417,228355,84541.2,395506,395416,
18,18431760798,234434,11510642,226102,83322.8,391606,391516,
19,11459700106,233201,8157581,224382,82384.2,388628,388538,
20,11897325704,234012,8566335,222092,81241.1,384663,384574,
21,10960562454,234658,7806180,219931,79721.3,380922,380834,
22,11309088098,234653,8237697,218068,77675.5,377695,377610,
23,12279709957,233666,8557791,216623,76604.8,375192,375108,
24,14700794769,232547,10183177,215103,76283.4,372560,372477,
25,12614809717,231867,9398859,213838,75551.3,370369,370288,
26,29744364441,234453,14974069,212706,75009.4,368408,368327,
27,12955260243,233478,8500021,211429,74241,366199,366123,
28,23541991969,233646,13508060,210195,73888.1,364056,363994,
29,11198567212,233453,8364024,208742,72709.8,361540,361477,
30,19364327695,231803,11227409,207249,71873.4,358954,358892,
31,15617621383,232485,10002394,206030,71547.9,356842,356781,
32,11609701865,235415,8272739,204770,71011,354659,354597,
33,13677850691,233815,10049990,204026,70901.4,353372,353310,
34,12120307085,233900,8328797,202767,70398.7,351191,351128,
35,12571713255,234937,8699637,202030,70185.4,349916,349853,
0,82115773728,232410,35081890,913118,806655,1.58157e+06,1.58172e+06,
1,82115773728,232410,33930438,913118,806655,1.58157e+06,1.58172e+06,
2,90276110901,234216,41999007,716725,553924,1.24145e+06,1.24133e+06,
